,Input_dec,Input_bin,Hamming_weight,Expected_output,Measured_result
0,0,0000,0,0,1
1,1,0001,1,0,1
2,2,0010,1,0,0
3,3,0011,2,0,0
4,4,0100,1,0,1
5,5,0101,2,0,1
6,6,0110,2,0,1
7,7,0111,3,0,1
8,8,1000,1,0,1
9,9,1001,2,0,1
10,10,1010,2,0,0
11,11,1011,3,0,0
12,12,1100,2,0,1
13,13,1101,3,0,1
14,14,1110,3,0,1
15,15,1111,4,1,0
